Country Name,Country Code,Population Density
Aruba,ABW,588.0277778
Afghanistan,AFG,56.93776001
Angola,AGO,24.71305206
Albania,ALB,104.6122628
Andorra,AND,163.8425532
Arab World,ARB,37.37236537
United Arab Emirates,ARE,135.6091101
Argentina,ARG,16.2585101
Armenia,ARM,103.6802248
American Samoa,ASM,277.325
Antigua and Barbuda,ATG,218.8318182
Australia,AUS,3.24787091
Austria,AUT,107.1279669
Azerbaijan,AZE,120.234668
Burundi,BDI,435.178271
Belgium,BEL,377.5844122
Benin,BEN,101.8539198
Burkina Faso,BFA,72.19128289
Bangladesh,BGD,1239.579312
Bulgaria,BGR,64.71109985
Bahrain,BHR,2017.2737
"Bahamas, The",BHS,38.52547453
Bosnia and Herzegovina,BIH,64.92048828
Belarus,BLR,46.71950379
Belize,BLZ,16.79399386
Bermuda,BMU,1184.685164
Bolivia,BOL,10.48014585
Brazil,BRA,25.06171624
Barbados,BRB,666.6069767
Brunei Darussalam,BRN,81.39696395
Bhutan,BTN,19.77752777
Botswana,BWA,3.977424876
Central African Republic,CAF,7.490412212
Canada,CAN,4.075188239
Central Europe and the Baltics,CEB,92.7833625
Switzerland,CHE,215.437463
Channel Islands,CHI,861.1060938
Chile,CHL,25.18944607
China,CHN,148.3488333
Cote d'Ivoire,CIV,78.83405346
Cameroon,CMR,53.34398891
"Congo, Dem. Rep.",COD,37.08259236
"Congo, Rep.",COG,15.35684627
Colombia,COL,44.74870212
Comoros,COM,447.2444775
Cabo Verde,CPV,134.9297767
Costa Rica,CRI,97.91306306
Caribbean small states,CSS,18.17701618
Cuba,CUB,108.9995962
Curacao,CUW,360.7545045
Cayman Islands,CYM,267.3916667
Cyprus,CYP,128.7083333
Czech Republic,CZE,137.6577053
Germany,DEU,237.3075967
Djibouti,DJI,41.36842105
Dominica,DMA,95.5
Denmark,DNK,137.9765658
Dominican Republic,DOM,219.9785759
Algeria,DZA,17.73007507
East Asia & Pacific (excluding high income),EAP,130.8104315
Early-demographic dividend,EAR,98.13833344
East Asia & Pacific,EAS,95.42821148
Europe & Central Asia (excluding high income),ECA,18.43967994
Europe & Central Asia,ECS,33.46699791
Ecuador,ECU,68.78868175
"Egypt, Arab Rep.",EGY,98.87346929
Euro area,EMU,127.6102759
Eritrea,ERI,31.82150495
Spain,ESP,93.67476732
Estonia,EST,30.41124914
Ethiopia,ETH,109.224559
European Union,EUU,105.4066036
Fragile and conflict affected situations,FCS,57.57024838
Finland,FIN,18.14854727
Fiji,FJI,48.35703339
France,FRA,122.3198826
Faroe Islands,FRO,34.73996983
"Micronesia, Fed. Sts.",FSM,160.9142857
Gabon,GAB,8.224764233
United Kingdom,GBR,274.7089819
Georgia,GEO,65.27520207
Ghana,GHA,130.8214292
Gibraltar,GIB,3371.8
Guinea,GIN,50.52221227
"Gambia, The",GMB,225.3065217
Guinea-Bissau,GNB,66.65394737
Equatorial Guinea,GNQ,46.66573975
Greece,GRC,83.25621412
Grenada,GRD,327.8058824
Greenland,GRL,0.136496528
Guatemala,GTM,160.9537794
Guam,GUM,306.9777778
Guyana,GUY,3.957348235
High income,HIC,34.42265079
"Hong Kong SAR, China",HKG,7096.190476
Honduras,HND,85.68703191
Heavily indebted poor countries (HIPC),HPC,44.89578165
Croatia,HRV,73.04937455
Haiti,HTI,403.5985486
Hungary,HUN,107.9814868
IBRD only,IBD,68.78554682
IDA & IBRD total,IBT,68.69926188
IDA total,IDA,68.4493168
IDA blend,IDB,93.18461119
Indonesia,IDN,147.7521901
IDA only,IDX,60.26257638
Isle of Man,IMN,147.5035088
India,IND,454.9380726
Ireland,IRL,70.65334591
"Iran, Islamic Rep.",IRN,50.22242012
Iraq,IRQ,88.53057004
Iceland,ISL,3.518413965
Israel,ISR,410.4805915
Italy,ITA,205.4183722
Jamaica,JAM,270.9930748
Jordan,JOR,112.1424983
Japan,JPN,347.0734584
Kazakhstan,KAZ,6.768318702
Kenya,KEN,90.29941666
Kyrgyz Republic,KGZ,32.96558916
Cambodia,KHM,92.05641287
Kiribati,KIR,143.0209877
St. Kitts and Nevis,KNA,201.6961538
"Korea, Rep.",KOR,529.3585013
Kuwait,KWT,232.1722222
Latin America & Caribbean (excluding high income),LAC,32.02146146
Lao PDR,LAO,30.59578423
Lebanon,LBN,669.4941349
Liberia,LBR,50.03090739
Libya,LBY,3.795632381
St. Lucia,LCA,298.1786885
Latin America & Caribbean,LCN,32.00573092
Least developed countries: UN classification,LDC,56.8413289
Low income,LIC,51.67373831
Liechtenstein,LIE,236.9375
Sri Lanka,LKA,345.558922
Lower middle income,LMC,150.0401695
Low & middle income,LMY,69.23235139
Lesotho,LSO,69.43781291
Late-demographic dividend,LTE,51.38983784
Lithuania,LTU,44.72307577
Luxembourg,LUX,250.1851852
Latvia,LVA,30.99347057
"Macao SAR, China",MAC,20777.50026
St. Martin (French part),MAF,672.0588235
Morocco,MAR,80.72851893
Monaco,MCO,19196
Moldova,MDA,123.5198035
Madagascar,MDG,45.13985562
Maldives,MDV,1718.986667
Middle East & North Africa,MEA,39.99771182
Mexico,MEX,64.91462641
Marshall Islands,MHL,324.5166667
Middle income,MIC,72.2840186
North Macedonia,MKD,82.59151467
Mali,MLI,15.63501586
Malta,MLT,1514.46875
Myanmar,MMR,82.23861548
Middle East & North Africa (excluding high income),MNA,44.31116946
Montenegro,MNE,46.26223048
Mongolia,MNG,2.040608667
Northern Mariana Islands,MNP,123.6565217
Mozambique,MOZ,37.50853531
Mauritania,MRT,4.272163578
Mauritius,MUS,623.3019704
Malawi,MWI,192.4407616
Malaysia,MYS,95.96282149
North America,NAC,19.944606
Namibia,NAM,2.973745582
New Caledonia,NCL,15.53938731
Niger,NER,17.71765059
Nigeria,NGA,215.064989
Nicaragua,NIC,53.72704836
Netherlands,NLD,511.4759276
Norway,NOR,14.54829163
Nepal,NPL,195.9391071
Nauru,NRU,635.2
New Zealand,NZL,18.38517337
